Date,Value
1-Jun-16,44.21
28-Jun-16,41.39
30-Jun-16,43.48
14-Jul-16,34.2
16-Jul-16,41.52
31-Jul-16,44.46
1-Aug-16,39.81
2-Aug-16,42.82
9-Aug-16,45.99
9-Aug-16,46.75
10-Aug-16,36.98
10-Aug-16,45.58
21-Aug-16,34.67
21-Aug-16,45.79
22-Aug-16,36.79
29-Aug-16,46.53
20-Sep-16,34.06
20-Sep-16,41.06
21-Sep-16,39.24
9-Oct-16,38.16
13-Oct-16,34.87
16-Oct-16,31.87
18-Oct-16,35.37
31-Oct-16,25.24
7-Nov-16,29.1
14-Nov-16,27.88
21-Nov-16,27.6
8-Dec-16,30.13
12-Dec-16,22.99
20-Dec-16,19.7
22-Dec-16,22.87
1-Mar-17,16.53
19-Jan-17,23
25-Jan-17,19
31-Jan-17,22
2-Feb-17,24
13-Feb-17,25
2-Mar-17,20
9-Mar-17,28
16-Mar-17,31
23-Mar-17,25
30-Mar-17,34
6-Apr-17,27
13-Apr-17,42
20-Apr-17,35
18-May-17,41
25-May-17,44
1-Jun-17,37
8-Jun-17,38
15-Jun-17,39
3-Jul-17,40
10-Jul-17,43
17-Jul-17,44
24-Jul-17,39
31-Jul-17,42
7-Aug-17,40
14-Aug-17,41
21-Aug-17,37
28-Aug-17,36
4-Sep-17,31
11-Sep-17,34
18-Sep-17,33
25-Sep-17,37
2-Oct-17,36
9-Oct-17,31
10-Oct-17,36
23-Oct-17,29
30-Oct-17,30
9-Nov-17,27
16-Nov-17,25
23-Nov-17,31
4-Dec-17,21
14-Dec-17,24
21-Dec-17,22
4-Jan-18,23
11-Jan-18,24
18-Jan-18,18
25-Jan-18,16
5-Feb-18,20
12-Feb-18,16
19-Feb-18,29
26-Feb-18,21
5-Mar-18,25
12-Mar-18,29
19-Mar-18,28
26-Mar-18,29
5-Apr-18,36
12-Apr-18,39
19-Jul-18,39
2-Aug-18,40
10-Sep-18,35
4-Oct-18,31
1-Nov-18,27
10-Dec-18,31
3-Jan-19,19
18-Feb-19,23
4-Mar-19,23
1-Apr-19,34
9-May-19,37
10-Jun-19,35
